episode,start_hst,end_hst,fountaining_duration_hr,max_fountain_ft,fountain_vent,pause_before_days,deflation_during_urad_UWD,inflation_before_urad_UWD,precursors,notes
1,2024-12-23 02:20,2024-12-23 15:00,~12,262,initial SW-caldera fissures,,,,"only ~30 min of precursory seismicity before onset","eruption onset; rapid tremor onset with fountaining"
2,2024-12-24 08:00,2024-12-25 11:00,~15 vigorous (27 total),,north+south,0.7,,~6 (eps 2-3 era),"renewed sluggish lava ~3 h before gas-rich fountaining","shortest repose of eruption (~16 h)"
3,2024-12-26 08:00,2025-01-03 20:40,204 (8.5 d),,both (mostly low),0.9,large,~6,"not found","longest episode of eruption; ~13M m3; forced doubling of re-inflation threshold"
4,2025-01-15 09:15,2025-01-18 10:00,~73 (3 d),330,north (south 130-165 ft),11.5,,~12 (target doubled),"persistent vent glow and degassing through pause","began within HVO forecast window Jan 8-13"
5,2025-01-22 14:30,2025-01-23 04:30,~14,100-160,north only,4.0,,,"not found; Pele's hair fall reported","start time inconsistently reported"
6,2025-01-24 23:28,2025-01-25 12:36,13.1,,north,1.8,,,"not found",
7,2025-01-27 18:42,2025-01-28 10:47,~16,148,north (south ~100 ft),2.3,,,"not found","ended abruptly"
8,2025-02-03 21:52,2025-02-04 19:07,21.5,330,north,6.4,,,"not found",
9,2025-02-11 10:16,2025-02-12 08:43,22.5,330,north (south bifurcated 80-100 ft),6.6,,,"HVO 'within next 2 days' tilt forecast verified","both vents died within 15-min window"
10,2025-02-19 20:22,2025-02-20 09:18,<13,400,north,7.5,6.5,,"not found","abrupt flip to inflation at end"
11,2025-02-25 18:22,2025-02-26 06:35,12.7,,both; heavy tephra + Pele's hair,5.4,~10,,"not found","rapid inflation-to-deflation switch at onset"
12,2025-03-04 14:00,2025-03-05 10:37,~21,600,north (south 200-400 ft overnight),6.3,,,"weak in-vent spattering morning of Mar 4; small short-lived flows",
13,2025-03-11 02:36,2025-03-11 15:11,12.6,700,north,5.7,,,"not found","abrupt simultaneous end at both vents"
14,2025-03-19 09:26,2025-03-20 13:49,28.4 (last ~7 high),650,mostly south,7.8,,,"many hours of gas-piston filling-draining cycles with low spattering and small overflows","slow ramp-up unusual vs abrupt earlier onsets"
15,2025-03-25 12:04,2025-03-26 19:10,~31 total ~9 high,1000+,south,4.9,,,">100 gas-piston cycles (rise-spatter-overflow-drainback) over ~24 h; drainbacks produced tremor spikes","first 1000-ft fountains of eruption"
16,2025-03-31 22:57,2025-04-02 12:03,~37 total 23-25.5 high,1000,south (700 ft sustained),5.2,14 (SDH 11),,"weak north spattering from 5:20 p.m. -> continuous + 15-30 ft fountains -> overflow 10:57 p.m.","longest sustained high fountaining; largest tilt drop to that point"
17,2025-04-07 22:15,2025-04-09 09:45,~35.5,200,south only,5.4,,,"flows from south vent at onset","ANOMALY: no high-fountain phase ever developed; north vent inactive"
18,2025-04-16 22:01,2025-04-22 13:28,10.1 high (spanned 5.7 d),650,south (north <200 ft),7.5,,,"south glow 9:10 p.m. -> rhythmic spatter every 10-20 s -> 10-15 ft dome fountains -> overflow; then TWO FALSE STARTS (Apr 16 and Apr 20)","ANOMALY: started then stalled ~5 days before 10-h high phase; ~5M m3 at ~140 m3/s"
19,2025-05-01 21:28,2025-05-02 05:20,7.9,330,north,9.3,,,"hydrogen flames from vents during pause; persistent glow",
20,2025-05-06 17:28,2025-05-06 21:58,4.5,500,north (south ~65 ft),4.5,,,"PULSING TREMOR from ~9 h before onset (~3-min pulses ~8/hr); steady degassing + intermittent spattering","shortest episode to that point; key precursory-tremor case"
21,2025-05-11 12:45,2025-05-11 20:36,7.9,500,north,4.6,,,"not found","long channelized flow along north crater floor"
22,2025-05-16 04:40,2025-05-16 15:29,10.3 high,650 sustained peaks 800-1000,north,4.4,,,"lava flowing ~4:45 a.m.; 5:13 a.m. simultaneous jump in fountain height + tremor + rapid deflation onset","explicit coupled tilt/tremor/fountain transition"
23,2025-05-25 16:15,2025-05-25 22:25,6.2,1000+ north AND 800+ south,dual,9.0,,,"not found","ANOMALY: dual high fountains; ~half of crater floor covered in 6 h"
